title,price
DELL E5470 14 1920x1080 i5-6200U 16GB 1TB SSD M.2 NVME WIN10Pro WEBCAM RENEW,369.55
Dell Latitude 5480,369.55
Lenovo Yoga 370 13.3 Touch 1920x1080 i5-7300U 8GB 128SSD M.2 NVME WIN10Pro WEBCAM RENEW,369.55
Dell 5480,369.55
Dell 5480,369.55
Acer TravelMate P2 TMP215-53-38SZ,369.95
Lenovo 100E G3 AMD 3015Ce,369.95
Dell e7480 i5-6300U 4GB 240GB SSD Windows 10 Professional Portatīvais dators,369.99
"14"" Ideapad S340-14API Ryzen 3 3200U 4GB 128GB SSD FHD Windows 10 Portatīvais dators",369.99
"Portatīvais dators 15'6""; Lenovo L570 i5-6300u 8GB 240GB SSD Windows 10 Professional",369.99
HP Folio Ultrabook G1 M3-6Y30 8GB 480GB SSD Windows 10 Professional ReNew Portatīvais dators,369.99
Latitude 7480 i5-7300 8GB 512GB SSD Windows 10 Professional Portatīvais dators,369.99
15.6'' Ideapad 3 Ryzen 3 5425U 4GB 128GB SSD FHD Windows 11 15ABA7 Portatīvais dators,369.99
"14"" Lenovo L470 i5-6200U 8GB 960GB SSD Windows 10 Professional Portatīvais dators",369.99
"15.6"" T560 i5-6200U 8GB 240GB SSD Windows 10 Professional Portatīvais dators",369.99
"14"" Latitude 7480 i5-7300 16GB 128GB SSD Windows 10 Professional Portatīvais dators",369.99
ASUS ExpertBook P1 14” FHD/P7505/4GB/ 128GB SSD/ W11P/ 2Y/EN,370.0
Medion SNB E14223 MD62560,371.22
HP 830 G5,372.0
Lenovo L570 15.6 1366x768 i5-6200U 8GB 240SSD WIN10Pro WEBCAM RENEW [refurbished],372.15
Asus X515JA-BQ3328,376.0
"14"" Dell E5490 i5-7300U 8GB 256GB SSD Windows 10 Professional Portatīvais dators",376.94
Dell M4800,377.0
Dell M4800,377.0
"Dators Asus E510MA-EJ1188W 256 GB SSD 15,6"" 8 GB DDR4 Intel Celeron N4020",378.17
"HP 840 G2 i5-5300U 16GB 480GB SSD Windows 10 Professional 14""",379.04
Lenovo Yoga 370 13.3 Touch 1920x1080 i5-7300U 8GB 256SSD M.2 NVME WIN10Pro WEBCAM RENEW,379.05
Dell 5480,379.05
